passage,date,days_in_culture,doublingtime,line,id
10,17/08/2015,6,NA,a,95.22
15,08/09/2015,7,NA,a,95.22
20,07/10/2015,5,1.550403767,a,95.22
25,04/11/2015,5,1.720050974,a,95.22
30,27/11/2015,4,1.317686288,a,95.22
35,18/12/2015,3,1.172668551,a,95.22
40,15/01/2016,3,1.127851536,a,95.22
45,02/02/2016,4,1.760545411,a,95.22
50,23/02/2016,4,1.932003776,a,95.22
55,16/03/2016,5,2.902814876,a,95.22
57,30/03/2016,8,3.445412465,a,95.22
10,-,,,b,95.22
15,09/04/2018,3,NA,b,95.22
20,27/04/2018,4,NA,b,95.22
25,17/05/2018,3,NA,b,95.22
30,29/05/2018,4,NA,b,95.22
35,25/06/2018,3,1.004856663,b,95.22
40,16/07/2018,5,2.368510581,b,95.22
45,14/08/2018,6,NA,b,95.22
50,04/09/2018,4,1.547411229,b,95.22
55,24/09/2018,3,1.5,b,95.22
60,12/10/2018,4,1.843381682,b,95.22
10,28/08/2015,4,2.213179023,a,99.5
15,08/09/2015,3,1.292029674,a,99.5
20,07/10/2015,3,1.848508162,a,99.5
25,04/11/2015,5,2.248785324,a,99.5
30,27/11/2015,3,1.362624391,a,99.5
35,18/12/2015,8,5.259522122,a,99.5
40,15/01/2016,3,2.320577315,a,99.5
45,02/02/2016,5,2.066509457,a,99.5
50,23/02/2016,4,1.642286517,a,99.5
10,-,,,b,99.5
15,09/11/2018,4,2.213179023,b,99.5
20,26/11/2018,4,2,b,99.5
25,17/12/2018,4,2.523719014,b,99.5
30,TBA,,,b,99.5
35,TBA,,,b,99.5
40,TBA,,,b,99.5
45,TBA,,,b,99.5
50,TBA,,,b,99.5