cell_id	clone_id
SA922-A90554B-R30-C42	E
SA922-A90554B-R30-C43	E
SA922-A90554B-R30-C44	E
SA922-A90554B-R30-C45	E
SA922-A90554B-R30-C49	E
SA922-A90554B-R30-C50	E
SA922-A90554B-R30-C51	E
SA922-A90554B-R30-C60	E
SA922-A90554B-R30-C64	E
SA922-A90554B-R30-C65	E
SA922-A90554B-R30-C66	E
SA922-A90554B-R30-C70	E
SA922-A90554B-R31-C09	D
SA922-A90554B-R31-C10	E
SA922-A90554B-R31-C18	E
SA922-A90554B-R31-C19	E
SA922-A90554B-R31-C20	E
SA922-A90554B-R31-C25	E
SA922-A90554B-R31-C29	E
SA922-A90554B-R31-C30	E
SA922-A90554B-R31-C34	E
SA922-A90554B-R31-C35	E
SA922-A90554B-R31-C36	E
SA922-A90554B-R31-C38	D
SA922-A90554B-R31-C40	D
SA922-A90554B-R31-C41	D
SA922-A90554B-R31-C42	E
SA922-A90554B-R31-C43	E
SA922-A90554B-R31-C45	E
SA922-A90554B-R31-C51	E
SA922-A90554B-R31-C52	E
SA922-A90554B-R31-C56	E
SA922-A90554B-R31-C66	E
SA922-A90554B-R31-C70	E
SA922-A90554B-R32-C10	E
SA922-A90554B-R32-C12	E
SA922-A90554B-R32-C13	E
SA922-A90554B-R32-C16	E
SA922-A90554B-R32-C19	E
SA922-A90554B-R32-C21	D
SA922-A90554B-R32-C25	D
SA922-A90554B-R32-C34	E
SA922-A90554B-R32-C35	E
SA922-A90554B-R32-C38	E
SA922-A90554B-R32-C41	E
SA922-A90554B-R33-C19	E
SA922-A90554B-R33-C27	E
SA922-A90554B-R33-C28	D
SA922-A90554B-R33-C29	E
SA922-A90554B-R33-C35	E
SA922-A90554B-R33-C37	E
SA922-A90554B-R33-C38	E
SA922-A90554B-R33-C41	E
SA922-A90554B-R33-C42	E
SA922-A90554B-R33-C44	E
SA922-A90554B-R33-C45	E
SA922-A90554B-R33-C48	E
SA922-A90554B-R33-C51	E
SA922-A90554B-R33-C52	E
SA922-A90554B-R33-C56	E
SA922-A90554B-R33-C57	E
SA922-A90554B-R33-C58	D
SA922-A90554B-R33-C60	E
SA922-A90554B-R33-C69	E
SA922-A90554B-R33-C70	D
SA922-A90554B-R34-C08	E
SA922-A90554B-R34-C09	E
SA922-A90554B-R34-C12	E
SA922-A90554B-R34-C14	E
SA922-A90554B-R34-C16	E
SA922-A90554B-R34-C17	E
SA922-A90554B-R34-C20	E
SA922-A90554B-R34-C21	E
SA922-A90554B-R34-C26	E
SA922-A90554B-R34-C27	E
SA922-A90554B-R34-C30	E
SA922-A90554B-R34-C32	E
SA922-A90554B-R34-C34	E
SA922-A90554B-R34-C35	E
SA922-A90554B-R34-C36	E
SA922-A90554B-R34-C41	E
SA922-A90554B-R34-C42	E
SA922-A90554B-R34-C43	E
SA922-A90554B-R34-C47	E
SA922-A90554B-R34-C48	E
SA922-A90554B-R34-C49	E
SA922-A90554B-R34-C54	E
SA922-A90554B-R34-C58	E
SA922-A90554B-R34-C61	E
SA922-A90554B-R34-C64	E
SA922-A90554B-R34-C66	E
SA922-A90554B-R34-C67	E
SA922-A90554B-R34-C68	D
SA922-A90554B-R34-C69	E
SA922-A90554B-R35-C08	E
SA922-A90554B-R35-C10	D
SA922-A90554B-R35-C12	D
SA922-A90554B-R35-C13	E
SA922-A90554B-R35-C14	E
SA922-A90554B-R35-C19	E
SA922-A90554B-R35-C21	E
SA922-A90554B-R35-C22	E
SA922-A90554B-R35-C25	E
SA922-A90554B-R35-C28	E
SA922-A90554B-R35-C32	E
SA922-A90554B-R35-C33	E
SA922-A90554B-R35-C34	E
SA922-A90554B-R35-C35	E
SA922-A90554B-R35-C36	E
SA922-A90554B-R35-C37	E
SA922-A90554B-R35-C38	E
SA922-A90554B-R35-C40	E
SA922-A90554B-R35-C47	E
SA922-A90554B-R35-C49	E
SA922-A90554B-R35-C50	E
SA922-A90554B-R35-C56	E
SA922-A90554B-R35-C58	E
SA922-A90554B-R35-C59	E
SA922-A90554B-R35-C60	E
SA922-A90554B-R35-C61	D
SA922-A90554B-R35-C67	D
SA922-A90554B-R35-C69	E
SA1090-A96213A-R20-C11	F
SA1090-A96213A-R20-C17	G
SA1090-A96213A-R20-C18	F
SA1090-A96213A-R20-C19	F
SA1090-A96213A-R20-C22	F
SA1090-A96213A-R20-C23	G
SA1090-A96213A-R20-C24	F
SA1090-A96213A-R20-C25	G
SA1090-A96213A-R20-C26	F
SA1090-A96213A-R20-C31	G
SA1090-A96213A-R20-C32	G
SA1090-A96213A-R20-C33	F
SA1090-A96213A-R20-C36	G
SA1090-A96213A-R20-C37	G
SA1090-A96213A-R20-C38	G
SA1090-A96213A-R20-C40	F
SA1090-A96213A-R20-C48	G
SA1090-A96213A-R20-C49	F
SA1090-A96213A-R20-C50	G
SA1090-A96213A-R20-C54	G
SA1090-A96213A-R20-C56	G
SA1090-A96213A-R20-C57	G
SA1090-A96213A-R20-C61	F
SA1090-A96213A-R20-C62	G
SA1090-A96213A-R20-C63	G
SA1090-A96213A-R20-C64	F
SA1090-A96213A-R20-C65	F
SA1090-A96213A-R20-C69	F
SA1090-A96213A-R22-C20	G
SA1090-A96213A-R22-C21	F
SA1090-A96213A-R22-C22	G
SA1090-A96213A-R22-C26	G
SA1090-A96213A-R22-C27	G
SA1090-A96213A-R22-C28	F
SA1090-A96213A-R22-C30	F
SA1090-A96213A-R22-C33	G
SA1090-A96213A-R22-C34	F
SA1090-A96213A-R22-C38	G
SA1090-A96213A-R22-C39	G
SA1090-A96213A-R22-C41	G
SA1090-A96213A-R22-C43	F
SA1090-A96213A-R22-C44	F
SA1090-A96213A-R22-C45	G
SA1090-A96213A-R22-C46	G
SA1090-A96213A-R22-C47	F
SA1090-A96213A-R22-C48	F
SA1090-A96213A-R22-C49	F
SA1090-A96213A-R22-C50	F
SA1090-A96213A-R24-C12	G
SA1090-A96213A-R24-C13	F
SA1090-A96213A-R24-C14	F
SA1090-A96213A-R24-C15	F
SA1090-A96213A-R24-C17	F
SA1090-A96213A-R24-C19	G
SA1090-A96213A-R24-C20	F
SA1090-A96213A-R24-C22	F
SA1090-A96213A-R24-C24	G
SA1090-A96213A-R24-C25	G
SA1090-A96213A-R24-C26	G
SA1090-A96213A-R24-C27	F
SA1090-A96213A-R24-C29	G
SA1090-A96213A-R24-C30	F
SA1090-A96213A-R24-C32	G
SA1090-A96213A-R24-C33	F
SA1090-A96213A-R24-C36	F
SA1090-A96213A-R24-C38	G
SA1090-A96213A-R24-C40	G
SA1090-A96213A-R24-C42	G
SA1090-A96213A-R24-C43	F
SA1090-A96213A-R24-C44	F
SA1090-A96213A-R24-C46	F
SA1090-A96213A-R24-C47	G
SA1090-A96213A-R24-C48	G
SA1090-A96213A-R24-C53	F
SA1090-A96213A-R24-C54	F
SA1090-A96213A-R24-C55	F
SA1090-A96213A-R24-C56	F
SA1090-A96213A-R24-C57	F
SA1090-A96213A-R24-C59	F
SA1090-A96213A-R24-C61	F
SA1090-A96213A-R24-C63	F
SA1090-A96213A-R24-C64	G
SA1090-A96213A-R24-C65	G
SA1090-A96213A-R24-C66	F
SA1090-A96213A-R24-C68	G
SA1090-A96213A-R24-C70	F
SA1090-A96213A-R25-C09	F
SA1090-A96213A-R25-C12	G
SA1090-A96213A-R25-C13	F
SA1090-A96213A-R25-C14	G
SA1090-A96213A-R25-C15	G
SA1090-A96213A-R25-C16	G
SA1090-A96213A-R25-C18	F
SA1090-A96213A-R25-C21	G
SA1090-A96213A-R25-C22	G
SA1090-A96213A-R25-C23	F
SA1090-A96213A-R25-C24	F
SA1090-A96213A-R25-C33	G
SA1090-A96213A-R25-C39	G
SA1090-A96213A-R25-C44	G
SA1090-A96213A-R25-C51	G
SA1090-A96213A-R25-C57	F
SA1090-A96213A-R25-C61	F
SA1090-A96213A-R25-C65	G
SA1090-A96213A-R25-C67	F
SA1090-A96213A-R26-C14	F
SA1090-A96213A-R26-C37	F
SA1090-A96213A-R26-C43	F
SA1090-A96213A-R26-C45	F
SA1090-A96213A-R26-C46	G
SA1090-A96213A-R26-C50	G
SA1090-A96213A-R26-C62	G
SA1090-A96213A-R26-C64	F
SA1090-A96213A-R26-C66	G
SA1090-A96213A-R26-C68	G
SA1090-A96213A-R27-C07	G
SA1090-A96213A-R27-C33	G
SA1090-A96213A-R27-C35	G
SA1090-A96213A-R27-C45	G
SA1090-A96213A-R27-C47	F
SA1090-A96213A-R27-C55	G
SA1090-A96213A-R27-C62	F
SA1090-A96213A-R27-C63	F
SA1090-A96213A-R27-C64	F
SA1090-A96213A-R27-C65	G
SA1090-A96213A-R27-C66	G
SA1090-A96213A-R28-C08	F
SA1090-A96213A-R28-C09	F
SA1090-A96213A-R28-C10	G
SA1090-A96213A-R28-C11	F
SA1090-A96213A-R28-C13	G
SA1090-A96213A-R28-C14	G
SA1090-A96213A-R28-C15	G
SA1090-A96213A-R28-C16	F
SA1090-A96213A-R28-C18	G
SA1090-A96213A-R28-C21	G
SA1090-A96213A-R28-C22	F
SA1090-A96213A-R28-C23	G
SA1090-A96213A-R28-C24	F
SA1090-A96213A-R28-C25	F
SA1090-A96213A-R28-C26	F
SA1090-A96213A-R28-C27	G
SA1090-A96213A-R28-C28	G
SA1090-A96213A-R28-C29	G
SA1090-A96213A-R28-C30	F
SA1090-A96213A-R28-C32	F
SA1090-A96213A-R28-C33	F
SA1090-A96213A-R28-C34	F
SA1090-A96213A-R28-C36	G
SA1090-A96213A-R28-C38	F
SA1090-A96213A-R28-C39	G
SA1090-A96213A-R28-C40	G
SA1090-A96213A-R28-C42	F
SA1090-A96213A-R28-C43	F
SA1090-A96213A-R28-C44	G
SA1090-A96213A-R28-C45	G
SA1090-A96213A-R28-C46	F
SA1090-A96213A-R28-C48	G
SA1090-A96213A-R28-C49	F
SA1090-A96213A-R28-C50	F
SA1090-A96213A-R28-C51	F
SA1090-A96213A-R28-C52	G
SA1090-A96213A-R28-C53	G
SA1090-A96213A-R28-C55	F
SA1090-A96213A-R28-C57	F
SA1090-A96213A-R28-C58	G
SA1090-A96213A-R28-C60	G
SA1090-A96213A-R28-C61	G
SA1090-A96213A-R28-C62	G
SA1090-A96213A-R28-C63	F
SA1090-A96213A-R28-C64	G
SA1090-A96213A-R28-C65	F
SA1090-A96213A-R28-C66	F
SA1090-A96213A-R28-C67	G
SA1090-A96213A-R28-C68	F
SA1090-A96213A-R28-C69	F
SA1090-A96213A-R28-C70	G
SA1090-A96213A-R29-C07	F
SA1090-A96213A-R29-C09	G
SA1090-A96213A-R29-C11	G
SA1090-A96213A-R29-C16	G
SA1090-A96213A-R29-C17	G
SA1090-A96213A-R29-C18	F
SA1090-A96213A-R29-C32	F
SA1090-A96213A-R29-C33	G
SA1090-A96213A-R29-C34	G
SA1090-A96213A-R29-C35	F
SA1090-A96213A-R29-C36	F
SA1090-A96213A-R29-C38	G
SA1090-A96213A-R29-C39	F
SA1090-A96213A-R29-C40	F
SA1090-A96213A-R29-C41	G
SA1090-A96213A-R29-C42	F
SA1090-A96213A-R29-C44	F
SA1090-A96213A-R29-C46	F
SA1090-A96213A-R29-C47	G
SA1090-A96213A-R29-C48	G
SA1090-A96213A-R29-C49	F
SA1090-A96213A-R29-C55	G
SA1090-A96213A-R29-C56	G
SA1090-A96213A-R29-C57	G
SA1090-A96213A-R29-C58	G
SA1090-A96213A-R29-C59	F
SA1090-A96213A-R29-C60	G
SA1090-A96213A-R29-C61	G
SA1090-A96213A-R29-C62	G
SA1090-A96213A-R29-C63	F
SA1090-A96213A-R29-C64	F
SA1090-A96213A-R29-C65	F
SA1090-A96213A-R29-C66	G
SA1090-A96213A-R29-C68	F
SA1090-A96213A-R29-C69	F
SA1090-A96213A-R29-C70	G
SA1090-A96213A-R30-C07	F
SA1090-A96213A-R30-C08	F
SA1090-A96213A-R30-C09	F
SA1090-A96213A-R30-C10	F
SA1090-A96213A-R30-C11	F
SA1090-A96213A-R30-C12	G
SA1090-A96213A-R30-C14	F
SA1090-A96213A-R30-C15	G
SA1090-A96213A-R30-C17	F
SA1090-A96213A-R30-C18	G
SA1090-A96213A-R30-C32	G
SA1090-A96213A-R30-C34	G
SA1090-A96213A-R30-C36	G
SA1090-A96213A-R30-C38	G
SA1090-A96213A-R30-C39	G
SA1090-A96213A-R30-C41	F
SA1090-A96213A-R30-C42	G
SA1090-A96213A-R30-C44	F
SA1090-A96213A-R30-C45	G
SA1090-A96213A-R30-C50	G
SA1090-A96213A-R30-C51	G
SA1090-A96213A-R30-C53	G
SA1090-A96213A-R30-C54	G
SA1090-A96213A-R30-C55	F
SA1090-A96213A-R30-C56	F
SA1090-A96213A-R30-C57	G
SA1090-A96213A-R30-C58	F
SA1090-A96213A-R30-C60	F
SA1090-A96213A-R30-C61	G
SA1090-A96213A-R30-C62	G
SA1090-A96213A-R30-C63	G
SA1090-A96213A-R30-C64	F
SA1090-A96213A-R30-C65	G
SA1090-A96213A-R30-C66	G
SA1090-A96213A-R30-C68	G
SA1090-A96213A-R30-C70	G
SA1090-A96213A-R31-C08	G
SA1090-A96213A-R31-C09	F
SA1090-A96213A-R31-C10	F
SA1090-A96213A-R31-C11	F
SA1090-A96213A-R31-C12	G
SA1090-A96213A-R31-C13	F
SA1090-A96213A-R31-C16	F
SA1090-A96213A-R31-C17	G
SA1090-A96213A-R31-C33	G
SA1090-A96213A-R31-C35	G
SA1090-A96213A-R31-C37	F
SA1090-A96213A-R31-C38	G
SA1090-A96213A-R31-C39	F
SA1090-A96213A-R31-C40	G
SA1090-A96213A-R31-C41	F
SA1090-A96213A-R31-C42	F
SA1090-A96213A-R31-C43	F
SA1090-A96213A-R31-C48	G
SA1090-A96213A-R31-C51	F
SA1090-A96213A-R31-C52	F
SA1090-A96213A-R31-C53	G
SA1090-A96213A-R31-C54	G
SA1090-A96213A-R31-C55	G
SA1090-A96213A-R31-C56	F
SA1090-A96213A-R31-C58	G
SA1090-A96213A-R31-C59	G
SA1090-A96213A-R31-C60	F
SA1090-A96213A-R31-C61	G
SA1090-A96213A-R31-C62	F
SA1090-A96213A-R31-C63	G
SA1090-A96213A-R31-C64	F
SA1090-A96213A-R31-C65	F
SA1090-A96213A-R31-C67	G
SA1090-A96213A-R31-C68	G
SA1090-A96213A-R31-C70	F
SA1090-A96213A-R32-C07	G
SA1090-A96213A-R32-C08	G
SA1090-A96213A-R32-C10	F
SA1090-A96213A-R32-C11	G
SA1090-A96213A-R32-C12	G
SA1090-A96213A-R32-C13	F
SA1090-A96213A-R32-C14	F
SA1090-A96213A-R32-C15	F
SA1090-A96213A-R32-C35	G
SA1090-A96213A-R32-C38	G
SA1090-A96213A-R32-C41	G
SA1090-A96213A-R32-C42	G
SA1090-A96213A-R32-C44	G
SA1090-A96213A-R32-C45	F
SA1090-A96213A-R32-C47	F
SA1090-A96213A-R32-C49	F
SA1090-A96213A-R32-C50	G
SA1090-A96213A-R32-C53	F
SA1090-A96213A-R32-C54	G
SA1090-A96213A-R32-C55	G
SA1090-A96213A-R32-C56	G
SA1090-A96213A-R32-C57	F
SA1090-A96213A-R32-C58	G
SA1090-A96213A-R32-C62	G
SA1090-A96213A-R32-C63	F
SA1090-A96213A-R32-C65	F
SA1090-A96213A-R32-C66	G
SA1090-A96213A-R32-C67	G
SA1090-A96213A-R32-C68	F
SA1090-A96213A-R32-C69	F
SA1090-A96213A-R32-C70	G
SA1090-A96213A-R33-C07	G
SA1090-A96213A-R33-C08	F
SA1090-A96213A-R33-C09	G
SA1090-A96213A-R33-C10	F
SA1090-A96213A-R33-C11	G
SA1090-A96213A-R33-C12	F
SA1090-A96213A-R33-C13	G
SA1090-A96213A-R33-C15	F
SA1090-A96213A-R33-C17	G
SA1090-A96213A-R33-C18	G
SA1090-A96213A-R33-C19	G
SA1090-A96213A-R33-C20	F
SA1090-A96213A-R33-C22	G
SA1090-A96213A-R33-C23	G
SA1090-A96213A-R33-C26	G
SA1090-A96213A-R33-C27	F
SA1090-A96213A-R33-C28	F
SA1090-A96213A-R33-C29	F
SA1090-A96213A-R33-C31	G
SA1090-A96213A-R33-C32	F
SA1090-A96213A-R33-C33	F
SA1090-A96213A-R33-C34	F
SA1090-A96213A-R33-C35	G
SA1090-A96213A-R33-C36	G
SA1090-A96213A-R33-C37	F
SA1090-A96213A-R33-C38	G
SA1090-A96213A-R33-C40	G
SA1090-A96213A-R33-C41	G
SA1090-A96213A-R33-C44	F
SA1090-A96213A-R33-C46	F
SA1090-A96213A-R33-C48	G
SA1090-A96213A-R33-C52	G
SA1090-A96213A-R33-C53	G
SA1090-A96213A-R33-C55	F
SA1090-A96213A-R33-C57	F
SA1090-A96213A-R33-C58	F
SA1090-A96213A-R33-C60	F
SA1090-A96213A-R33-C61	F
SA1090-A96213A-R33-C62	G
SA1090-A96213A-R33-C64	F
SA1090-A96213A-R33-C65	G
SA1090-A96213A-R33-C68	G
SA1090-A96213A-R33-C70	F
SA1090-A96213A-R34-C08	G
SA1090-A96213A-R34-C11	F
SA1090-A96213A-R34-C13	F
SA1090-A96213A-R34-C14	G
SA1090-A96213A-R34-C15	F
SA1090-A96213A-R34-C16	F
SA1090-A96213A-R34-C17	G
SA1090-A96213A-R34-C18	G
SA1090-A96213A-R34-C19	F
SA1090-A96213A-R34-C20	F
SA1090-A96213A-R34-C21	F
SA1090-A96213A-R34-C25	G
SA1090-A96213A-R34-C27	G
SA1090-A96213A-R34-C28	G
SA1090-A96213A-R34-C29	F
SA1090-A96213A-R34-C30	G
SA1090-A96213A-R34-C31	G
SA1090-A96213A-R34-C35	F
SA1090-A96213A-R34-C36	G
SA1090-A96213A-R34-C37	G
SA1090-A96213A-R34-C38	G
SA1090-A96213A-R34-C39	G
SA1090-A96213A-R34-C40	G
SA1090-A96213A-R34-C41	G
SA1090-A96213A-R34-C42	G
SA1090-A96213A-R34-C44	F
SA1090-A96213A-R34-C45	F
SA1090-A96213A-R34-C46	F
SA1090-A96213A-R34-C48	G
SA1090-A96213A-R34-C49	F
SA1090-A96213A-R34-C50	F
SA1090-A96213A-R34-C53	G
SA1090-A96213A-R34-C54	G
SA1090-A96213A-R34-C55	G
SA1090-A96213A-R34-C56	G
SA1090-A96213A-R34-C57	G
SA1090-A96213A-R34-C58	G
SA1090-A96213A-R34-C63	G
SA1090-A96213A-R34-C64	G
SA1090-A96213A-R34-C65	G
SA1090-A96213A-R34-C67	F
SA1090-A96213A-R34-C68	G
SA1090-A96213A-R34-C70	F
SA1090-A96213A-R35-C10	F
SA1090-A96213A-R35-C11	G
SA1090-A96213A-R35-C12	F
SA1090-A96213A-R35-C14	F
SA1090-A96213A-R35-C15	F
SA1090-A96213A-R35-C17	G
SA1090-A96213A-R35-C21	G
SA1090-A96213A-R35-C22	F
SA1090-A96213A-R35-C23	G
SA1090-A96213A-R35-C24	F
SA1090-A96213A-R35-C25	F
SA1090-A96213A-R35-C27	F
SA1090-A96213A-R35-C28	F
SA1090-A96213A-R35-C31	G
SA1090-A96213A-R35-C32	G
SA1090-A96213A-R35-C33	F
SA1090-A96213A-R35-C34	G
SA1090-A96213A-R35-C36	F
SA1090-A96213A-R35-C38	G
SA1090-A96213A-R35-C39	F
SA1090-A96213A-R35-C41	G
SA1090-A96213A-R35-C44	G
SA1090-A96213A-R35-C45	F
SA1090-A96213A-R35-C47	F
SA1090-A96213A-R35-C48	G
